lost_pet_type,lost_breed,lost_color,lost_location,lost_date,found_pet_type,found_breed,found_color,found_location,found_date,match,lost_pet_type_encoded,lost_breed_encoded,lost_color_encoded,lost_location_encoded,found_pet_type_encoded,found_breed_encoded,found_color_encoded,found_location_encoded,date_diff
Dog,Labrador,Orange,Bronx Zoo,2025-12-31,Dog,Beagle,Golden,Times Square,2026-01-02,0,2,12,5,0,2,1,2,7,2
Cat,Russian Blue,Gray,Central Park,2025-12-08,Bird,Cockatiel,Gray,Bronx Zoo,2025-12-13,0,1,21,3,2,0,7,3,0,5
Cat,Bengal,Gray,Riverside Park,2025-12-20,Bird,Conure,Orange,Riverside Park,2025-12-24,0,1,2,3,5,0,8,5,5,4
Dog,German Shepherd,Spotted,Brooklyn Bridge,2025-12-13,Dog,Rottweiler,Brown,Riverside Park,2025-12-22,0,2,10,6,1,2,20,1,5,9
Cat,Siamese,Black,Staten Island,2025-12-21,Cat,Persian,Striped,Staten Island,2025-12-27,0,1,22,0,6,1,17,7,6,6
Cat,Maine Coon,Brown,Central Park,2025-12-27,Dog,Bulldog,Golden,Bronx Zoo,2026-01-06,0,1,15,1,2,2,5,2,0,10
Cat,Persian,Mixed,Brooklyn Bridge,2025-12-15,Dog,Yorkshire Terrier,Brown,Times Square,2025-12-23,0,1,17,4,1,2,23,1,7,8
Cat,Siamese,Striped,Central Park,2025-12-26,Cat,Siamese,Striped,Central Park,2026-01-04,1,1,22,7,2,1,22,7,2,9
Cat,Siamese,Orange,Manhattan,2025-12-27,Cat,Siamese,Orange,Bronx Zoo,2026-01-02,1,1,22,5,3,1,22,5,0,6
Bird,Lovebird,Golden,Riverside Park,2025-12-11,Bird,Lovebird,Golden,Bronx Zoo,2025-12-14,1,0,13,2,5,0,13,2,0,3
Dog,Poodle,Orange,Staten Island,2025-12-07,Dog,Poodle,Orange,Staten Island,2025-12-15,1,2,18,5,6,2,18,5,6,8
Dog,Rottweiler,Spotted,Brooklyn Bridge,2025-12-28,Cat,Ragdoll,Striped,Central Park,2026-01-06,0,2,20,6,1,1,19,7,2,9
Dog,Beagle,Spotted,Staten Island,2025-12-05,Dog,Beagle,Spotted,Riverside Park,2025-12-14,1,2,1,6,6,2,1,6,5,9
Cat,Siamese,White,Times Square,2025-12-26,Cat,Siamese,White,Times Square,2025-12-26,1,1,22,8,7,1,22,8,7,0
Bird,Finch,Brown,Bronx Zoo,2025-12-26,Dog,Poodle,Orange,Staten Island,2026-01-05,0,0,9,1,0,2,18,5,6,10
Bird,Parrot,Black,Riverside Park,2025-12-03,Dog,Bulldog,Black,Brooklyn Bridge,2025-12-09,0,0,16,0,5,2,5,0,1,6
Dog,Yorkshire Terrier,White,Central Park,2025-12-15,Dog,Yorkshire Terrier,Orange,Brooklyn Bridge,2025-12-17,1,2,23,8,2,2,23,5,1,2
Cat,British Shorthair,Mixed,Bronx Zoo,2025-12-15,Cat,British Shorthair,Mixed,Bronx Zoo,2025-12-15,1,1,3,4,0,1,3,4,0,0
Bird,Budgie,Golden,Queens Plaza,2025-12-18,Bird,Budgie,Golden,Queens Plaza,2025-12-21,1,0,4,2,4,0,4,2,4,3
Bird,Canary,Striped,Riverside Park,2025-12-31,Cat,Russian Blue,Spotted,Bronx Zoo,2026-01-08,0,0,6,7,5,1,21,6,0,8
Bird,Macaw,Orange,Riverside Park,2025-12-04,Bird,Lovebird,Gray,Staten Island,2025-12-13,0,0,14,5,5,0,13,3,6,9
Bird,Conure,Golden,Central Park,2025-12-26,Cat,Maine Coon,Gray,Times Square,2026-01-05,0,0,8,2,2,1,15,3,7,10
Bird,Budgie,Black,Brooklyn Bridge,2025-12-19,Dog,Rottweiler,Gray,Times Square,2025-12-21,0,0,4,0,1,2,20,3,7,2
Bird,Parrot,Mixed,Queens Plaza,2025-12-28,Dog,Bulldog,Spotted,Riverside Park,2026-01-04,0,0,16,4,4,2,5,6,5,7
Dog,Poodle,Orange,Riverside Park,2025-12-30,Dog,Bulldog,Orange,Bronx Zoo,2026-01-09,0,2,18,5,5,2,5,5,0,10
Bird,Canary,Orange,Brooklyn Bridge,2025-12-30,Bird,Canary,Orange,Brooklyn Bridge,2026-01-09,1,0,6,5,1,0,6,5,1,10
Bird,Conure,Mixed,Times Square,2025-12-07,Cat,Siamese,White,Bronx Zoo,2025-12-08,0,0,8,4,7,1,22,8,0,1
Bird,Finch,Black,Bronx Zoo,2025-12-14,Bird,Budgie,Golden,Staten Island,2025-12-22,0,0,9,0,0,0,4,2,6,8
Cat,Bengal,Spotted,Staten Island,2025-12-05,Cat,British Shorthair,Striped,Times Square,2025-12-05,0,1,2,6,6,1,3,7,7,0
Bird,Finch,Brown,Central Park,2025-12-02,Bird,Finch,Brown,Central Park,2025-12-04,1,0,9,1,2,0,9,1,2,2
Dog,Beagle,Mixed,Riverside Park,2025-12-04,Dog,Yorkshire Terrier,Mixed,Riverside Park,2025-12-11,1,2,1,4,5,2,23,4,5,7
Dog,Rottweiler,Orange,Riverside Park,2025-12-29,Cat,Persian,Black,Central Park,2026-01-05,0,2,20,5,5,1,17,0,2,7
Dog,Yorkshire Terrier,Mixed,Riverside Park,2025-12-21,Dog,Yorkshire Terrier,Mixed,Queens Plaza,2025-12-21,1,2,23,4,5,2,23,4,4,0
Cat,British Shorthair,Spotted,Times Square,2025-12-15,Bird,Finch,Spotted,Central Park,2025-12-19,0,1,3,6,7,0,9,6,2,4
Cat,Persian,Brown,Bronx Zoo,2025-12-03,Dog,German Shepherd,Black,Queens Plaza,2025-12-12,0,1,17,1,0,2,10,0,4,9
Bird,Parrot,Orange,Brooklyn Bridge,2025-12-04,Cat,Ragdoll,Gray,Staten Island,2025-12-04,0,0,16,5,1,1,19,3,6,0
Cat,Abyssinian,Black,Brooklyn Bridge,2025-12-24,Cat,Abyssinian,Mixed,Queens Plaza,2026-01-02,0,1,0,0,1,1,0,4,4,9
Dog,Bulldog,Gray,Staten Island,2025-12-11,Dog,Bulldog,Gray,Staten Island,2025-12-17,1,2,5,3,6,2,5,3,6,6
Bird,Canary,Spotted,Riverside Park,2025-12-05,Dog,German Shepherd,Brown,Queens Plaza,2025-12-07,0,0,6,6,5,2,10,1,4,2
Dog,German Shepherd,Spotted,Times Square,2025-12-07,Dog,Rottweiler,Golden,Queens Plaza,2025-12-10,0,2,10,6,7,2,20,2,4,3
Dog,Bulldog,Striped,Riverside Park,2025-12-28,Dog,Yorkshire Terrier,Striped,Riverside Park,2026-01-05,1,2,5,7,5,2,23,7,5,8
Dog,Golden Retriever,Gray,Bronx Zoo,2025-12-27,Dog,Golden Retriever,Gray,Bronx Zoo,2026-01-01,1,2,11,3,0,2,11,3,0,5
Bird,Parrot,Orange,Queens Plaza,2025-12-27,Dog,Poodle,Gray,Central Park,2026-01-02,0,0,16,5,4,2,18,3,2,6
Cat,Maine Coon,Black,Times Square,2025-12-12,Dog,Yorkshire Terrier,Golden,Manhattan,2025-12-18,0,1,15,0,7,2,23,2,3,6
Bird,Lovebird,Golden,Times Square,2025-12-21,Dog,Beagle,Gray,Manhattan,2025-12-26,0,0,13,2,7,2,1,3,3,5
Bird,Conure,Golden,Manhattan,2025-12-16,Dog,Labrador,Golden,Riverside Park,2025-12-20,0,0,8,2,3,2,12,2,5,4
Dog,Poodle,Black,Brooklyn Bridge,2025-12-16,Cat,Persian,Black,Manhattan,2025-12-25,0,2,18,0,1,1,17,0,3,9
Bird,Parrot,Spotted,Manhattan,2025-12-22,Cat,Ragdoll,Gray,Bronx Zoo,2025-12-22,0,0,16,6,3,1,19,3,0,0
Bird,Canary,Mixed,Central Park,2025-12-10,Cat,British Shorthair,Golden,Bronx Zoo,2025-12-16,0,0,6,4,2,1,3,2,0,6
Bird,Macaw,Golden,Staten Island,2025-12-07,Bird,Macaw,Spotted,Brooklyn Bridge,2025-12-09,0,0,14,2,6,0,14,6,1,2
Dog,Poodle,Mixed,Staten Island,2025-12-05,Bird,Finch,White,Manhattan,2025-12-13,0,2,18,4,6,0,9,8,3,8
Bird,Conure,Striped,Riverside Park,2025-12-26,Bird,Cockatiel,Spotted,Times Square,2025-12-27,0,0,8,7,5,0,7,6,7,1
Bird,Budgie,Orange,Bronx Zoo,2025-12-27,Dog,German Shepherd,Mixed,Brooklyn Bridge,2026-01-03,0,0,4,5,0,2,10,4,1,7
Dog,Beagle,Brown,Queens Plaza,2025-12-16,Dog,Beagle,Brown,Staten Island,2025-12-22,1,2,1,1,4,2,1,1,6,6
Cat,Persian,White,Staten Island,2025-12-08,Bird,Cockatiel,Spotted,Queens Plaza,2025-12-18,0,1,17,8,6,0,7,6,4,10
Bird,Macaw,Gray,Brooklyn Bridge,2025-12-22,Bird,Macaw,Gray,Brooklyn Bridge,2025-12-31,1,0,14,3,1,0,14,3,1,9
Cat,Ragdoll,White,Manhattan,2025-12-19,Dog,Golden Retriever,Mixed,Queens Plaza,2025-12-19,0,1,19,8,3,2,11,4,4,0
Dog,Labrador,Brown,Times Square,2025-12-31,Dog,Yorkshire Terrier,Golden,Central Park,2026-01-10,0,2,12,1,7,2,23,2,2,10
Dog,Bulldog,Golden,Central Park,2025-12-24,Dog,Bulldog,Golden,Central Park,2025-12-31,1,2,5,2,2,2,5,2,2,7
Dog,Poodle,Spotted,Manhattan,2025-12-16,Cat,Russian Blue,Striped,Riverside Park,2025-12-17,0,2,18,6,3,1,21,7,5,1
Dog,Poodle,Black,Times Square,2025-12-16,Dog,Golden Retriever,White,Bronx Zoo,2025-12-21,0,2,18,0,7,2,11,8,0,5
Cat,Ragdoll,Black,Times Square,2025-12-06,Cat,Ragdoll,Black,Times Square,2025-12-15,1,1,19,0,7,1,19,0,7,9
Bird,Macaw,Black,Brooklyn Bridge,2025-12-25,Bird,Finch,Gray,Times Square,2025-12-27,0,0,14,0,1,0,9,3,7,2
Cat,Siamese,Striped,Brooklyn Bridge,2025-12-09,Bird,Cockatiel,Orange,Bronx Zoo,2025-12-14,0,1,22,7,1,0,7,5,0,5
Dog,Beagle,Orange,Central Park,2025-12-07,Cat,Abyssinian,Orange,Brooklyn Bridge,2025-12-12,0,2,1,5,2,1,0,5,1,5
Bird,Cockatiel,Striped,Central Park,2025-12-16,Bird,Finch,Striped,Queens Plaza,2025-12-24,0,0,7,7,2,0,9,7,4,8
Bird,Cockatiel,Gray,Brooklyn Bridge,2025-12-11,Cat,Persian,Mixed,Brooklyn Bridge,2025-12-14,0,0,7,3,1,1,17,4,1,3
Bird,Finch,Black,Central Park,2025-12-27,Bird,Finch,Black,Central Park,2025-12-29,1,0,9,0,2,0,9,0,2,2
Cat,Siamese,Black,Queens Plaza,2025-12-28,Bird,Budgie,Orange,Bronx Zoo,2026-01-01,0,1,22,0,4,0,4,5,0,4
Bird,Lovebird,Golden,Times Square,2025-12-10,Bird,Conure,Golden,Times Square,2025-12-19,1,0,13,2,7,0,8,2,7,9
Dog,Beagle,Striped,Queens Plaza,2025-12-03,Cat,Russian Blue,Striped,Times Square,2025-12-06,0,2,1,7,4,1,21,7,7,3
Cat,Persian,Mixed,Times Square,2025-12-31,Dog,Golden Retriever,Striped,Riverside Park,2025-12-31,0,1,17,4,7,2,11,7,5,0
Cat,Abyssinian,Brown,Riverside Park,2025-12-28,Cat,Abyssinian,Brown,Riverside Park,2026-01-06,1,1,0,1,5,1,0,1,5,9
Bird,Conure,Golden,Riverside Park,2025-12-19,Dog,Poodle,Striped,Staten Island,2025-12-28,0,0,8,2,5,2,18,7,6,9
Dog,Beagle,Spotted,Manhattan,2025-12-05,Dog,Beagle,Spotted,Manhattan,2025-12-09,1,2,1,6,3,2,1,6,3,4
Cat,British Shorthair,Orange,Riverside Park,2025-12-30,Bird,Cockatiel,Black,Times Square,2026-01-03,0,1,3,5,5,0,7,0,7,4
Cat,Siamese,Black,Central Park,2025-12-13,Cat,Bengal,Spotted,Riverside Park,2025-12-17,0,1,22,0,2,1,2,6,5,4
Bird,Cockatiel,White,Times Square,2025-12-10,Cat,Siamese,Spotted,Riverside Park,2025-12-12,0,0,7,8,7,1,22,6,5,2
Cat,Persian,Mixed,Times Square,2025-12-03,Dog,Labrador,Spotted,Brooklyn Bridge,2025-12-07,0,1,17,4,7,2,12,6,1,4
Bird,Conure,Golden,Bronx Zoo,2025-12-13,Bird,Conure,Golden,Bronx Zoo,2025-12-22,1,0,8,2,0,0,8,2,0,9
Dog,Rottweiler,Spotted,Central Park,2025-12-13,Cat,Siamese,Striped,Queens Plaza,2025-12-22,0,2,20,6,2,1,22,7,4,9
Dog,Yorkshire Terrier,Spotted,Bronx Zoo,2025-12-17,Cat,Abyssinian,Brown,Queens Plaza,2025-12-20,0,2,23,6,0,1,0,1,4,3
Cat,Persian,Brown,Queens Plaza,2025-12-18,Bird,Budgie,Striped,Brooklyn Bridge,2025-12-23,0,1,17,1,4,0,4,7,1,5
Dog,Rottweiler,Mixed,Staten Island,2025-12-30,Bird,Finch,Mixed,Central Park,2026-01-04,0,2,20,4,6,0,9,4,2,5
Bird,Cockatiel,Orange,Brooklyn Bridge,2025-12-27,Dog,Labrador,Brown,Bronx Zoo,2025-12-30,0,0,7,5,1,2,12,1,0,3
Cat,Russian Blue,Mixed,Riverside Park,2025-12-22,Cat,Russian Blue,Mixed,Riverside Park,2025-12-31,1,1,21,4,5,1,21,4,5,9
Bird,Cockatiel,Orange,Brooklyn Bridge,2025-12-02,Bird,Cockatiel,Orange,Brooklyn Bridge,2025-12-07,1,0,7,5,1,0,7,5,1,5
Dog,German Shepherd,Black,Times Square,2025-12-10,Dog,German Shepherd,Black,Times Square,2025-12-16,1,2,10,0,7,2,10,0,7,6
Bird,Budgie,Orange,Times Square,2025-12-14,Bird,Budgie,Orange,Times Square,2025-12-14,1,0,4,5,7,0,4,5,7,0
Bird,Cockatiel,Brown,Staten Island,2025-12-09,Dog,Yorkshire Terrier,Black,Bronx Zoo,2025-12-15,0,0,7,1,6,2,23,0,0,6
Cat,British Shorthair,Golden,Staten Island,2025-12-20,Cat,Ragdoll,Striped,Staten Island,2025-12-29,0,1,3,2,6,1,19,7,6,9
Bird,Macaw,Golden,Central Park,2025-12-18,Bird,Macaw,Golden,Riverside Park,2025-12-26,1,0,14,2,2,0,14,2,5,8
Cat,Persian,White,Queens Plaza,2025-12-11,Cat,Persian,White,Queens Plaza,2025-12-13,1,1,17,8,4,1,17,8,4,2
Bird,Conure,Mixed,Central Park,2025-12-31,Bird,Conure,Mixed,Central Park,2026-01-02,1,0,8,4,2,0,8,4,2,2
Bird,Lovebird,Brown,Queens Plaza,2025-12-18,Dog,Poodle,Striped,Central Park,2025-12-22,0,0,13,1,4,2,18,7,2,4
Dog,Poodle,Golden,Manhattan,2025-12-05,Cat,Maine Coon,Spotted,Central Park,2025-12-10,0,2,18,2,3,1,15,6,2,5
Bird,Macaw,Golden,Queens Plaza,2025-12-13,Dog,German Shepherd,Spotted,Bronx Zoo,2025-12-21,0,0,14,2,4,2,10,6,0,8
Dog,Rottweiler,Brown,Queens Plaza,2025-12-16,Dog,Poodle,White,Queens Plaza,2025-12-20,0,2,20,1,4,2,18,8,4,4
Cat,Ragdoll,Spotted,Riverside Park,2025-12-27,Dog,Rottweiler,Striped,Times Square,2025-12-31,0,1,19,6,5,2,20,7,7,4
Dog,Bulldog,Spotted,Bronx Zoo,2025-12-11,Cat,British Shorthair,Golden,Times Square,2025-12-19,0,2,5,6,0,1,3,2,7,8
Bird,Lovebird,Golden,Riverside Park,2025-12-17,Bird,Lovebird,Golden,Riverside Park,2025-12-17,1,0,13,2,5,0,13,2,5,0
Cat,Russian Blue,Mixed,Queens Plaza,2025-12-17,Cat,Siamese,Gray,Brooklyn Bridge,2025-12-26,0,1,21,4,4,1,22,3,1,9
Bird,Parrot,Mixed,Times Square,2025-12-07,Cat,Maine Coon,Mixed,Staten Island,2025-12-10,0,0,16,4,7,1,15,4,6,3
Cat,Maine Coon,Golden,Times Square,2025-12-25,Bird,Lovebird,White,Queens Plaza,2026-01-02,0,1,15,2,7,0,13,8,4,8
Cat,Abyssinian,White,Staten Island,2025-12-02,Bird,Budgie,White,Times Square,2025-12-08,0,1,0,8,6,0,4,8,7,6
Cat,Siamese,Gray,Central Park,2025-12-03,Bird,Canary,Orange,Riverside Park,2025-12-04,0,1,22,3,2,0,6,5,5,1
Cat,Siamese,Striped,Bronx Zoo,2025-12-22,Dog,Golden Retriever,Spotted,Queens Plaza,2025-12-29,0,1,22,7,0,2,11,6,4,7
Dog,Yorkshire Terrier,Mixed,Brooklyn Bridge,2025-12-06,Dog,Yorkshire Terrier,Mixed,Brooklyn Bridge,2025-12-11,1,2,23,4,1,2,23,4,1,5
Bird,Cockatiel,Black,Staten Island,2025-12-10,Bird,Cockatiel,Black,Staten Island,2025-12-10,1,0,7,0,6,0,7,0,6,0
Bird,Lovebird,Gray,Central Park,2025-12-07,Cat,Abyssinian,Mixed,Manhattan,2025-12-14,0,0,13,3,2,1,0,4,3,7
Cat,Abyssinian,Gray,Brooklyn Bridge,2025-12-21,Dog,Labrador,Gray,Riverside Park,2025-12-29,0,1,0,3,1,2,12,3,5,8
Bird,Budgie,Golden,Queens Plaza,2025-12-18,Cat,Bengal,Brown,Riverside Park,2025-12-19,0,0,4,2,4,1,2,1,5,1
Cat,Maine Coon,Mixed,Queens Plaza,2025-12-10,Cat,Maine Coon,Mixed,Central Park,2025-12-13,1,1,15,4,4,1,15,4,2,3
Dog,Beagle,Brown,Queens Plaza,2025-12-12,Dog,German Shepherd,White,Queens Plaza,2025-12-12,0,2,1,1,4,2,10,8,4,0
Dog,German Shepherd,Golden,Manhattan,2025-12-13,Bird,Cockatiel,Orange,Riverside Park,2025-12-21,0,2,10,2,3,0,7,5,5,8
Bird,Finch,Gray,Central Park,2025-12-17,Cat,Siamese,White,Queens Plaza,2025-12-26,0,0,9,3,2,1,22,8,4,9
Dog,Bulldog,Golden,Bronx Zoo,2025-12-31,Cat,Russian Blue,Orange,Brooklyn Bridge,2026-01-08,0,2,5,2,0,1,21,5,1,8
Dog,Labrador,Brown,Queens Plaza,2025-12-28,Dog,German Shepherd,Mixed,Riverside Park,2026-01-05,0,2,12,1,4,2,10,4,5,8
Cat,Ragdoll,Spotted,Riverside Park,2025-12-29,Dog,Rottweiler,Gray,Central Park,2026-01-04,0,1,19,6,5,2,20,3,2,6
Dog,Golden Retriever,Golden,Times Square,2025-12-28,Dog,Golden Retriever,Golden,Bronx Zoo,2026-01-03,1,2,11,2,7,2,11,2,0,6
Bird,Lovebird,Orange,Central Park,2025-12-30,Cat,Ragdoll,Spotted,Brooklyn Bridge,2026-01-06,0,0,13,5,2,1,19,6,1,7
Dog,Golden Retriever,White,Staten Island,2025-12-30,Cat,Persian,Brown,Times Square,2026-01-04,0,2,11,8,6,1,17,1,7,5
Dog,Labrador,Gray,Central Park,2025-12-13,Dog,Beagle,Mixed,Bronx Zoo,2025-12-21,0,2,12,3,2,2,1,4,0,8
Bird,Finch,Mixed,Bronx Zoo,2025-12-27,Dog,Bulldog,Gray,Bronx Zoo,2026-01-02,0,0,9,4,0,2,5,3,0,6
Cat,Ragdoll,Orange,Brooklyn Bridge,2025-12-23,Bird,Cockatiel,Brown,Central Park,2025-12-24,0,1,19,5,1,0,7,1,2,1
Dog,Yorkshire Terrier,Black,Times Square,2025-12-17,Bird,Conure,Mixed,Bronx Zoo,2025-12-26,0,2,23,0,7,0,8,4,0,9
Cat,Russian Blue,Gray,Bronx Zoo,2025-12-29,Dog,Rottweiler,Gray,Central Park,2026-01-02,0,1,21,3,0,2,20,3,2,4
Cat,British Shorthair,Orange,Times Square,2025-12-27,Dog,Golden Retriever,Spotted,Bronx Zoo,2026-01-06,0,1,3,5,7,2,11,6,0,10
Bird,Lovebird,Mixed,Central Park,2025-12-09,Cat,Siamese,Black,Times Square,2025-12-11,0,0,13,4,2,1,22,0,7,2
Bird,Parrot,Striped,Riverside Park,2025-12-14,Bird,Parrot,Striped,Brooklyn Bridge,2025-12-24,1,0,16,7,5,0,16,7,1,10
Cat,Ragdoll,White,Staten Island,2025-12-18,Cat,Ragdoll,White,Staten Island,2025-12-20,1,1,19,8,6,1,19,8,6,2
Cat,Abyssinian,Spotted,Riverside Park,2025-12-23,Cat,Abyssinian,Spotted,Riverside Park,2025-12-27,1,1,0,6,5,1,0,6,5,4
Dog,Labrador,White,Queens Plaza,2025-12-06,Bird,Conure,Mixed,Central Park,2025-12-11,0,2,12,8,4,0,8,4,2,5
Dog,Yorkshire Terrier,Mixed,Manhattan,2025-12-17,Dog,Yorkshire Terrier,Mixed,Manhattan,2025-12-24,1,2,23,4,3,2,23,4,3,7
Dog,Bulldog,Gray,Staten Island,2025-12-30,Dog,Bulldog,Gray,Staten Island,2026-01-01,1,2,5,3,6,2,5,3,6,2
Bird,Macaw,Spotted,Brooklyn Bridge,2025-12-30,Cat,Persian,Black,Manhattan,2026-01-02,0,0,14,6,1,1,17,0,3,3
Dog,Bulldog,Gray,Riverside Park,2025-12-05,Dog,Yorkshire Terrier,Black,Queens Plaza,2025-12-13,0,2,5,3,5,2,23,0,4,8
Bird,Finch,Golden,Central Park,2025-12-22,Cat,Russian Blue,Black,Queens Plaza,2025-12-30,0,0,9,2,2,1,21,0,4,8
Cat,Maine Coon,Black,Times Square,2025-12-31,Cat,Maine Coon,Black,Times Square,2026-01-03,1,1,15,0,7,1,15,0,7,3
Cat,Siamese,White,Staten Island,2025-12-17,Dog,Rottweiler,Golden,Queens Plaza,2025-12-24,0,1,22,8,6,2,20,2,4,7
Dog,German Shepherd,White,Staten Island,2025-12-15,Bird,Macaw,Brown,Bronx Zoo,2025-12-19,0,2,10,8,6,0,14,1,0,4
Dog,Labrador,White,Staten Island,2025-12-30,Bird,Finch,Golden,Bronx Zoo,2026-01-02,0,2,12,8,6,0,9,2,0,3
Dog,Bulldog,Brown,Riverside Park,2025-12-24,Cat,Abyssinian,Spotted,Riverside Park,2025-12-26,0,2,5,1,5,1,0,6,5,2
Bird,Conure,Striped,Bronx Zoo,2025-12-10,Bird,Conure,Striped,Bronx Zoo,2025-12-10,1,0,8,7,0,0,8,7,0,0
Dog,Bulldog,Gray,Brooklyn Bridge,2025-12-02,Dog,Bulldog,Gray,Staten Island,2025-12-03,1,2,5,3,1,2,5,3,6,1
Cat,Ragdoll,Striped,Riverside Park,2025-12-13,Dog,Rottweiler,Brown,Manhattan,2025-12-23,0,1,19,7,5,2,20,1,3,10
Cat,Bengal,Golden,Riverside Park,2025-12-03,Cat,Siamese,Black,Manhattan,2025-12-04,0,1,2,2,5,1,22,0,3,1
Cat,Persian,Orange,Queens Plaza,2025-12-12,Cat,Persian,Brown,Queens Plaza,2025-12-14,1,1,17,5,4,1,17,1,4,2
Dog,Golden Retriever,Brown,Times Square,2025-12-13,Dog,Golden Retriever,Brown,Times Square,2025-12-19,1,2,11,1,7,2,11,1,7,6
Dog,Rottweiler,Orange,Central Park,2025-12-12,Bird,Canary,Orange,Riverside Park,2025-12-15,0,2,20,5,2,0,6,5,5,3
Bird,Cockatiel,Mixed,Staten Island,2025-12-16,Dog,Yorkshire Terrier,Striped,Bronx Zoo,2025-12-16,0,0,7,4,6,2,23,7,0,0
Dog,Rottweiler,White,Riverside Park,2025-12-22,Bird,Finch,Mixed,Queens Plaza,2025-12-25,0,2,20,8,5,0,9,4,4,3
Bird,Lovebird,Black,Central Park,2025-12-03,Cat,Russian Blue,White,Riverside Park,2025-12-09,0,0,13,0,2,1,21,8,5,6
Dog,Bulldog,Black,Staten Island,2025-12-18,Dog,Yorkshire Terrier,Brown,Bronx Zoo,2025-12-27,0,2,5,0,6,2,23,1,0,9
Dog,Golden Retriever,Mixed,Brooklyn Bridge,2025-12-21,Cat,Bengal,Black,Times Square,2025-12-31,0,2,11,4,1,1,2,0,7,10
Bird,Canary,Black,Manhattan,2025-12-23,Bird,Canary,Black,Manhattan,2025-12-24,1,0,6,0,3,0,6,0,3,1
Bird,Conure,Mixed,Riverside Park,2025-12-16,Bird,Conure,Mixed,Riverside Park,2025-12-21,1,0,8,4,5,0,8,4,5,5
Dog,German Shepherd,Black,Bronx Zoo,2025-12-13,Dog,German Shepherd,White,Bronx Zoo,2025-12-13,1,2,10,0,0,2,10,8,0,0
Dog,Bulldog,Golden,Manhattan,2025-12-18,Bird,Finch,Black,Central Park,2025-12-19,0,2,5,2,3,0,9,0,2,1
Cat,British Shorthair,Black,Bronx Zoo,2025-12-15,Cat,Persian,Black,Brooklyn Bridge,2025-12-24,1,1,3,0,0,1,17,0,1,9
Dog,Golden Retriever,Orange,Brooklyn Bridge,2025-12-27,Dog,Poodle,Gray,Times Square,2025-12-30,0,2,11,5,1,2,18,3,7,3
Cat,Ragdoll,Striped,Riverside Park,2025-12-20,Cat,Ragdoll,Striped,Riverside Park,2025-12-25,1,1,19,7,5,1,19,7,5,5
Dog,Bulldog,Striped,Times Square,2025-12-02,Dog,Bulldog,Mixed,Manhattan,2025-12-08,1,2,5,7,7,2,5,4,3,6
Bird,Macaw,Brown,Central Park,2025-12-07,Dog,Beagle,Mixed,Central Park,2025-12-13,0,0,14,1,2,2,1,4,2,6
Bird,Macaw,Striped,Times Square,2025-12-21,Dog,Beagle,Mixed,Queens Plaza,2025-12-30,0,0,14,7,7,2,1,4,4,9
Dog,Beagle,Gray,Brooklyn Bridge,2025-12-23,Bird,Budgie,Spotted,Queens Plaza,2025-12-23,0,2,1,3,1,0,4,6,4,0
Dog,German Shepherd,Orange,Brooklyn Bridge,2025-12-29,Dog,Labrador,Golden,Staten Island,2026-01-06,0,2,10,5,1,2,12,2,6,8
Dog,Labrador,White,Manhattan,2025-12-08,Cat,Maine Coon,Orange,Bronx Zoo,2025-12-13,0,2,12,8,3,1,15,5,0,5
Dog,Poodle,Orange,Central Park,2025-12-30,Bird,Conure,Mixed,Brooklyn Bridge,2026-01-09,0,2,18,5,2,0,8,4,1,10
Bird,Cockatiel,Mixed,Bronx Zoo,2025-12-18,Bird,Cockatiel,Mixed,Bronx Zoo,2025-12-26,1,0,7,4,0,0,7,4,0,8
Bird,Lovebird,Mixed,Central Park,2025-12-13,Cat,Russian Blue,Spotted,Bronx Zoo,2025-12-19,0,0,13,4,2,1,21,6,0,6
Cat,Bengal,Spotted,Queens Plaza,2025-12-26,Bird,Budgie,Spotted,Manhattan,2025-12-28,0,1,2,6,4,0,4,6,3,2
Cat,Persian,Orange,Queens Plaza,2025-12-02,Cat,Persian,Mixed,Staten Island,2025-12-06,0,1,17,5,4,1,17,4,6,4
Cat,Siamese,Black,Brooklyn Bridge,2025-12-26,Cat,British Shorthair,Spotted,Queens Plaza,2026-01-05,0,1,22,0,1,1,3,6,4,10
Bird,Conure,Golden,Bronx Zoo,2025-12-03,Bird,Macaw,Mixed,Times Square,2025-12-05,0,0,8,2,0,0,14,4,7,2
Bird,Budgie,Brown,Central Park,2025-12-23,Dog,Bulldog,Golden,Manhattan,2026-01-01,0,0,4,1,2,2,5,2,3,9
Cat,Persian,Striped,Times Square,2025-12-15,Cat,Persian,Striped,Manhattan,2025-12-22,1,1,17,7,7,1,17,7,3,7
Dog,Golden Retriever,Brown,Brooklyn Bridge,2025-12-25,Cat,Ragdoll,Spotted,Staten Island,2025-12-31,0,2,11,1,1,1,19,6,6,6
Dog,Rottweiler,Gray,Bronx Zoo,2025-12-16,Dog,Rottweiler,Gray,Queens Plaza,2025-12-25,1,2,20,3,0,2,20,3,4,9
Cat,Maine Coon,Spotted,Manhattan,2025-12-28,Cat,Maine Coon,Brown,Manhattan,2025-12-30,1,1,15,6,3,1,15,1,3,2
Cat,Russian Blue,Black,Queens Plaza,2025-12-24,Bird,Cockatiel,Black,Riverside Park,2025-12-27,0,1,21,0,4,0,7,0,5,3
